,Austin,Byron,Frankie,Gary,Grant,Jacob,Woodward,Jimmy,Jose,Kevin,Nehemiah,Rilee,Clark,Clay
0,88.72,115.54,66.64,48.6,51.56,91.66,70.04,80.46,124.34,93.7,77.58,125.76,79.84,145.08
1,85.74,113.64,93.06,124.32,141.78,116.84,101.14,107.5,99.1,147.78,81.58,89.7,101.46,102.54
2,89.86,124.22,123.62,95.46,142.98,111.56,91.82,110.46,128.38,105.78,82.04,104.4,142.68,58.74
3,82.22,83.18,110.8,78.28,113.14,118.62,124.0,66.36,64.02,134.16,100.9,136.98,111.16,99.64
4,76.28,134.7,106.74,123.32,138.84,85.52,98.18,67.24,110.14,103.32,84.06,100.52,143.16,58.08
5,91.24,113.04,95.06,88.18,103.52,89.48,90.12,115.8,99.64,94.9,87.76,87.98,121.44,64.5
6,88.24,111.76,74.4,80.54,124.78,102.16,79.06,111.88,137.16,143.36,101.46,61.06,123.94,73.7
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
